star_id,fit_x,fit_y,fit_x+dx,fit_y+dy,idx,raw_x,raw_y
38221,616.3,985.8,383.4335,1588.6854,5000615,381.843,1591.623
38219,751.8,1035,518.9335,1637.8854,5000642,517.132,1641.236
2853:852,875.1,707.2,642.2335,1310.0854,582,641.376,1313.843
38229,1646.1,1259.5,1645.8118,1259.4234,5000433,1647.344,1260.853
2853:61,1198,1149,1197.7118,1148.9234,506,1199.098,1150.043
38237,937.8,1037.6,937.5118,1037.5234,469,938.992,1038.728
38256,557.4,707.7,557.1118,707.6234,5000194,558.512,708.979
38271,752.1,324.8,751.8118,324.7234,5000083,753.748,326.037
38244,854.7,912.5,854.4118,912.4234,5000284,855.902,913.53
38243,862.5,933.5,862.2118,933.4234,5000295,863.646,934.738
2853:1141,na,na,na,na,na,na,na
38255,915,728,914.7118,727.9234,5000200,916.216,729.005
38248,1198.1,829.2,1197.8118,829.1234,5000242,1199.346,830.493
382544,1232.6,738.1,1232.3118,738.0234,5000204,1234.248,739.675
2853:460,1333,973.1,1332.7118,973.0234,421,1334.133,974.186
2853:1178,1634.4,629.2,1634.1118,629.1234,254,1635.429,630.288
2853:1628,1632.2,543.7,1631.9118,543.6234,223,1633.339,544.73
38268,1676,468.2,1675.7118,468.1234,195,1616.407,485.583
38284,na,na,na,na,na,na,na
